baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.22631602881	-5.82552878267404	0.143003698299262	-40.7369099677622	0	0
ENSMUSG00000025608.9	4401.66107588957	-8.3122825862365	0.197510658421242	-42.0852355649001	0	0
ENSMUSG00000045545.8	4088.29979250429	-9.12444146399839	0.238753630118428	-38.2169747931054	0	0
ENSMUSG00000047586.4	2408.96236911915	-7.42299749279665	0.196906498511201	-37.69808284095	0	0
ENSMUSG00000054889.10	6835.30817812126	-4.65300668001266	0.114964036920333	-40.4735846501029	0	0
ENSMUSG00000097767.8	4106.77407374806	-6.59502516390828	0.151463270308127	-43.542075583683	0	0
ENSMUSG00000020758.15	6336.69419572802	-4.25982725314092	0.114956165176483	-37.0561008763745	1.43228422838632e-300	4.23280911894684e-297
ENSMUSG00000030693.10	1240.47206579175	-5.46811518406554	0.148332221231374	-36.8639742509901	1.74667363501187e-297	4.51667968593633e-294
ENSMUSG00000053797.10	2357.50857283841	-7.97909203533108	0.217491975720287	-36.68683411839	1.18431863311343e-294	2.72222217369083e-291
ENSMUSG00000024406.16	2300.56855437857	-4.4819606190853	0.123016819594284	-36.4337221029372	1.24556067726078e-290	2.57669137304937e-287
ENSMUSG00000037820.15	3906.53527277478	-4.02391064534196	0.110663737320391	-36.3616008529698	1.72292602228969e-289	3.24019732937334e-286
ENSMUSG00000047281.3	1063.70823537809	-5.25836522231806	0.149598416206139	-35.149872275869	1.16765155934306e-270	2.01293398401082e-267
ENSMUSG00000056602.12	1176.49468242755	-5.38984151834227	0.153514183827593	-35.1097298240234	4.78904831259716e-270	7.62084941866904e-267
ENSMUSG00000027375.14	3835.54485991725	-5.76194281782884	0.164591372014061	-35.0075629561955	1.72616651958825e-268	2.55065762790873e-265
ENSMUSG00000037185.9	1422.68171410608	-4.99084020393726	0.143869964186443	-34.6899384604666	1.11727642131977e-263	1.54087315518948e-260
ENSMUSG00000026413.12	1670.21813735503	-5.5079397176606	0.162352326844091	-33.9258440253213	2.77087075695472e-252	3.58256270932015e-249
ENSMUSG00000031995.9	1272.07779943817	-6.00950983870562	0.180166625616736	-33.3552888507193	6.10562837155543e-244	7.42983141896278e-241
ENSMUSG00000019102.10	4252.13080423328	-3.75659095327899	0.117383742860177	-32.0026509782848	1.00164323653825e-224	1.15116631301483e-221
ENSMUSG00000034282.3	1267.19137061125	-6.84030018891548	0.216712781583837	-31.5638982570544	1.1559321723047e-218	1.25856678149828e-215
ENSMUSG00000074796.10	890.962147770756	-4.2756907041938	0.135822427925788	-31.4800049556617	1.63143285974643e-217	1.68747257847872e-214
ENSMUSG00000028435.8	1000.60191451766	-6.25344055622067	0.200049069573634	-31.259533321243	1.65675629369815e-214	1.63206273560637e-211
ENSMUSG00000042793.13	993.596483876577	-4.19102810477122	0.13503956612052	-31.0355566533057	1.78712078353293e-211	1.68046216586117e-208
ENSMUSG00000049382.10	5899.38440276072	-10.8668284305015	0.354158401776115	-30.6835257218353	9.44194780036657e-207	8.49241626722536e-204
ENSMUSG00000063450.14	2006.16488735426	-3.45582230146488	0.113616633574881	-30.4165173067486	3.32229633988839e-203	2.86368101596963e-200
ENSMUSG00000022871.13	1099.8210296869	-6.6565095358748	0.221667485355502	-30.0292554192119	4.07425768713227e-198	3.37136675094821e-195
ENSMUSG00000020788.15	2105.01080621481	-8.81864071487226	0.298918943774597	-29.5017793235682	2.73156178652148e-191	2.17337764145269e-188
ENSMUSG00000025432.11	1237.63464000221	-6.45493153885069	0.218900085850218	-29.4880265294526	4.09995528327922e-191	3.14132499797027e-188
ENSMUSG00000061126.5	1586.36311788539	-8.12860528309869	0.276571483908714	-29.3906123951002	7.23910939146423e-190	5.34840914218645e-187
ENSMUSG00000003153.10	1022.21678895265	-4.75302721391539	0.169211663321001	-28.0892411352208	1.32583958312512e-173	9.45780808831359e-171
ENSMUSG00000060716.7	840.095139931726	-6.73486894567488	0.239867686851364	-28.0774331635932	1.84794194368925e-173	1.27427916630332e-170
ENSMUSG00000040703.11	1371.20061576237	-7.27379610072459	0.261007200143895	-27.8681817846959	6.48643108891759e-171	4.32854193343349e-168
ENSMUSG00000048699.4	2458.70198351876	-9.60292817408604	0.347624794289038	-27.6244051973506	5.6667582840231e-168	3.66338214442456e-165
ENSMUSG00000038295.14	631.285065322775	-5.23887163427219	0.191092795906571	-27.415327770041	1.80078424107062e-165	1.12887344227357e-162
ENSMUSG00000012350.15	1200.71716412298	-7.68151008231992	0.28277064223486	-27.1651612119617	1.67651294714512e-162	1.02005950992915e-159
ENSMUSG00000024421.16	651.442758902235	-5.80225305107419	0.215270298646248	-26.9533376762253	5.21291215551148e-160	3.08112896460189e-157
ENSMUSG00000048373.8	879.028716907514	-7.22967620874153	0.279660990433299	-25.8515719247796	2.33606910916836e-147	1.34239615726016e-144
ENSMUSG00000024331.11	731.917226833879	-5.56462669878929	0.220059344712466	-25.28693660367	4.44722190745972e-141	2.48647782701674e-138
ENSMUSG00000031297.14	803.324639833221	-3.9083042653288	0.154644457125645	-25.2728376947477	6.3550795221283e-141	3.45967184405969e-138
ENSMUSG00000043439.5	659.526663859316	-5.17602309211163	0.205088580646668	-25.2379877796756	1.53448361867586e-140	8.13945195373015e-138
ENSMUSG00000018166.8	696.980616144935	-6.81093336120238	0.270551695904533	-25.1742401334113	7.67175584474362e-140	3.96764032900528e-137
ENSMUSG00000074227.12	750.578515745838	-3.91036471485344	0.156137776213707	-25.0443218142244	2.01312602265359e-138	1.01574483001549e-135
ENSMUSG00000115388.2	609.418326642107	-6.50249638874492	0.260720318809975	-24.9405048997513	2.70710458155918e-137	1.33337791615987e-134
ENSMUSG00000020911.14	1699.52101122176	-3.6248153934602	0.145379212437121	-24.9335192610704	3.22315224047313e-137	1.55063605578297e-134
ENSMUSG00000018849.6	1056.25064161841	-3.63311941008114	0.146179952858043	-24.8537459415472	2.35565015087285e-136	1.10753033343424e-133
ENSMUSG00000074272.10	525.088709521609	-4.94689455529679	0.199684888825138	-24.7735048175265	1.73070388545293e-135	7.95623806185883e-133
ENSMUSG00000022123.9	552.670932932523	-4.73712614013004	0.194188128800444	-24.3945197339953	1.95526823431851e-131	8.60609233262701e-129
ENSMUSG00000022218.16	1164.84011584487	-8.52448627106638	0.349431426544424	-24.3953051257187	1.9181012000038e-131	8.60609233262701e-129
ENSMUSG00000030494.13	525.776954463157	-5.76750198561064	0.236654669432228	-24.3709621257328	3.47602494409531e-131	1.49809433371874e-128
ENSMUSG00000026479.13	663.22244591254	-3.25900805478674	0.135230813293036	-24.0995966483223	2.52416849366632e-128	1.06566272711174e-125
ENSMUSG00000035557.9	5638.94839930443	-11.8801852063594	0.493676030692577	-24.0647397640366	5.85200018926344e-128	2.42120655830586e-125
ENSMUSG00000019866.15	1632.58282696157	-2.94416161416885	0.122677288955037	-23.9992392988724	2.83210743893787e-127	1.14878052135898e-124
ENSMUSG00000038807.19	1117.18649454612	-2.96429905158424	0.124616097962296	-23.7874488132435	4.50445602622644e-125	1.79199388104897e-122
ENSMUSG00000026639.18	426.218051032084	-4.30170139553717	0.181537723843627	-23.6959090620888	3.97343724092322e-124	1.55091502269771e-121
ENSMUSG00000029019.8	418.751966922948	-5.45657270354596	0.230888886552619	-23.6328945278292	1.76986116307193e-123	6.78020701490167e-121
